"Step","patch size 2 - validation_accuracy","patch size 2 - validation_accuracy__MIN","patch size 2 - validation_accuracy__MAX","patch size 16 - validation_accuracy","patch size 16 - validation_accuracy__MIN","patch size 16 - validation_accuracy__MAX","patch size 12 - validation_accuracy","patch size 12 - validation_accuracy__MIN","patch size 12 - validation_accuracy__MAX","patch size 6 - validation_accuracy","patch size 6 - validation_accuracy__MIN","patch size 6 - validation_accuracy__MAX","patch size 3 - validation_accuracy","patch size 3 - validation_accuracy__MIN","patch size 3 - validation_accuracy__MAX"
"1","50.73260073260073","50.73260073260073","50.73260073260073","51.15995115995116","51.15995115995116","51.15995115995116","56.74603174603175","56.74603174603175","56.74603174603175","56.53235653235653","56.53235653235653","56.53235653235653","60.8058608058608","60.8058608058608","60.8058608058608"
"2","58.211233211233214","58.211233211233214","58.211233211233214","66.02564102564102","66.02564102564102","66.02564102564102","70.20757020757021","70.20757020757021","70.20757020757021","67.85714285714286","67.85714285714286","67.85714285714286","62.54578754578755","62.54578754578755","62.54578754578755"
"3","64.86568986568986","64.86568986568986","64.86568986568986","70.45177045177046","70.45177045177046","70.45177045177046","70.48229548229548","70.48229548229548","70.48229548229548","68.1929181929182","68.1929181929182","68.1929181929182","64.52991452991454","64.52991452991454","64.52991452991454"
"4","62.576312576312574","62.576312576312574","62.576312576312574","73.26007326007326","73.26007326007326","73.26007326007326","69.87179487179488","69.87179487179488","69.87179487179488","71.001221001221","71.001221001221","71.001221001221","65.17094017094017","65.17094017094017","65.17094017094017"
"5","67.7045177045177","67.7045177045177","67.7045177045177","74.63369963369964","74.63369963369964","74.63369963369964","71.27594627594628","71.27594627594628","71.27594627594628","70.51282051282051","70.51282051282051","70.51282051282051","69.38339438339439","69.38339438339439","69.38339438339439"
"6","68.71184371184371","68.71184371184371","68.71184371184371","71.12332112332112","71.12332112332112","71.12332112332112","73.32112332112332","73.32112332112332","73.32112332112332","72.86324786324786","72.86324786324786","72.86324786324786","69.38339438339439","69.38339438339439","69.38339438339439"
"7","65.56776556776556","65.56776556776556","65.56776556776556","69.993894993895","69.993894993895","69.993894993895","73.5042735042735","73.5042735042735","73.5042735042735","72.31379731379731","72.31379731379731","72.31379731379731","68.80341880341881","68.80341880341881","68.80341880341881"
"8","68.37606837606837","68.37606837606837","68.37606837606837","75.54945054945055","75.54945054945055","75.54945054945055","73.56532356532357","73.56532356532357","73.56532356532357","72.98534798534799","72.98534798534799","72.98534798534799","68.13186813186813","68.13186813186813","68.13186813186813"
"9","65.50671550671551","65.50671550671551","65.50671550671551","72.61904761904762","72.61904761904762","72.61904761904762","73.1990231990232","73.1990231990232","73.1990231990232","76.98412698412699","76.98412698412699","76.98412698412699","60.74481074481074","60.74481074481074","60.74481074481074"
"10","71.73382173382173","71.73382173382173","71.73382173382173","77.38095238095238","77.38095238095238","77.38095238095238","76.03785103785104","76.03785103785104","76.03785103785104","72.77167277167277","72.77167277167277","72.77167277167277","73.26007326007326","73.26007326007326","73.26007326007326"
"11","71.58119658119658","71.58119658119658","71.58119658119658","76.06837606837607","76.06837606837607","76.06837606837607","73.26007326007326","73.26007326007326","73.26007326007326","74.63369963369964","74.63369963369964","74.63369963369964","72.52747252747253","72.52747252747253","72.52747252747253"
"12","74.11477411477412","74.11477411477412","74.11477411477412","75.94627594627595","75.94627594627595","75.94627594627595","77.31990231990233","77.31990231990233","77.31990231990233","73.96214896214896","73.96214896214896","73.96214896214896","74.02319902319903","74.02319902319903","74.02319902319903"
"13","65.78144078144078","65.78144078144078","65.78144078144078","76.28205128205128","76.28205128205128","76.28205128205128","75.30525030525031","75.30525030525031","75.30525030525031","77.1978021978022","77.1978021978022","77.1978021978022","70.66544566544566","70.66544566544566","70.66544566544566"
"14","72.92429792429792","72.92429792429792","72.92429792429792","77.25885225885226","77.25885225885226","77.25885225885226","76.03785103785104","76.03785103785104","76.03785103785104","76.31257631257631","76.31257631257631","76.31257631257631","76.28205128205128","76.28205128205128","76.28205128205128"
"15","65.93406593406593","65.93406593406593","65.93406593406593","74.84737484737485","74.84737484737485","74.84737484737485","76.61782661782662","76.61782661782662","76.61782661782662","77.53357753357753","77.53357753357753","77.53357753357753","75.21367521367522","75.21367521367522","75.21367521367522"
"16","71.94749694749694","71.94749694749694","71.94749694749694","76.25152625152626","76.25152625152626","76.25152625152626","75.42735042735043","75.42735042735043","75.42735042735043","74.72527472527473","74.72527472527473","74.72527472527473","75.73260073260073","75.73260073260073","75.73260073260073"
"17","76.31257631257631","76.31257631257631","76.31257631257631","75.97680097680097","75.97680097680097","75.97680097680097","75.57997557997558","75.57997557997558","75.57997557997558","77.68620268620269","77.68620268620269","77.68620268620269","74.93894993894993","74.93894993894993","74.93894993894993"
"18","74.42002442002442","74.42002442002442","74.42002442002442","75.91575091575092","75.91575091575092","75.91575091575092","75.7020757020757","75.7020757020757","75.7020757020757","76.28205128205128","76.28205128205128","76.28205128205128","74.87789987789988","74.87789987789988","74.87789987789988"
"19","72.83272283272284","72.83272283272284","72.83272283272284","76.19047619047619","76.19047619047619","76.19047619047619","75.82417582417582","75.82417582417582","75.82417582417582","75.67155067155068","75.67155067155068","75.67155067155068","74.81684981684981","74.81684981684981","74.81684981684981"
